"1","sakura_reads","sakura@capytoons.to","hashed_password_placeholder","2024-07-27 22:54:06",\N
"2","manhwa_mike","mike@capytoons.to","hashed_password_placeholder","2026-04-10 22:54:06",\N
"3","otaku_olivia","olivia@capytoons.to","hashed_password_placeholder","2025-02-16 22:54:06",\N
"4","chapter_chase","chase@capytoons.to","hashed_password_placeholder","2026-01-05 22:54:06",\N
"5","webtoon_wendy","wendy@capytoons.to","hashed_password_placeholder","2025-03-02 22:54:06",\N
"6","manga_marcus","marcus@capytoons.to","hashed_password_placeholder","2025-05-22 22:54:06",\N
"7","panel_priya","priya@capytoons.to","hashed_password_placeholder","2025-11-12 22:54:06",\N
"8","inked_ivan","ivan@capytoons.to","hashed_password_placeholder","2024-11-20 22:54:06",\N
"9","toon_talia","talia@capytoons.to","hashed_password_placeholder","2024-06-06 22:54:06",\N
"10","scroll_sam","sam@capytoons.to","hashed_password_placeholder","2025-06-03 22:54:06",\N
"11","binge_bella","bella@capytoons.to","hashed_password_placeholder","2026-01-01 22:54:06",\N
"12","arc_ahmed","ahmed@capytoons.to","hashed_password_placeholder","2025-01-29 22:54:06",\N
"13","testuser","test@test.com","$2b$10$cK1LBKHghrbKAo4fGp0dceyWrj6FtYZA60d6UvjarkBzs52o/Roda","2026-05-03 23:19:35",\N
